,itemid,num_patients,label,ratio
2348,85,10609,Braden Moisture,0.9844112461724042
2345,82,10609,Braden Activity,0.9844112461724042
2347,84,10609,Braden Mobility,0.9844112461724042
2346,83,10609,Braden Frict/Shear,0.9844112461724042
2351,88,10608,Braden SensoryPercep,0.9843184559710495
2350,87,10608,Braden Score,0.9843184559710495
2300,32,10607,Activity Tolerance,0.9842256657696947
2319,54,10603,Assistance Device,0.9838545049642757
1731,678,10583,Temperature F,0.981998700937181
1730,677,10582,Temperature C (calc),0.9819059107358263
2696,547,10579,Position,0.9816275401317621
19,637,10531,Side Rails,0.9771736104667347
1198,827,10524,Phosphorous(2.7-4.5),0.9765240790572516
1757,706,10521,Urine [Color],0.9762457084531874
2388,128,10520,Code Status,0.9761529182518326
2414,156,10508,Dorsal PedPulse [Right],0.9750394358355757
2699,550,10501,Precautions,0.9743899044260926
103,8381,10486,Dorsal PedPulse [Left],0.9729980514057716
1158,786,10482,Calcium (8.4-10.2),0.9726268906003526
1717,663,10474,Support Systems,0.9718845689895147
202,8480,10467,Urine [Appearance],0.9712350375800316
2612,455,10459,NBP [Systolic],0.9704927159691936
2613,456,10452,NBP Mean,0.9698431845597105
2698,549,10439,PostTib. Pulses [Right],0.9686369119420989
163,8441,10434,NBP [Diastolic],0.9681729609353252
2676,525,10417,Pain Location,0.9665955275122947
178,8456,10398,PostTib. Pulses [Left],0.9648325136865546
1274,1046,10395,Pain Present,0.9645541430824904
2334,69,10352,BSA,0.9605641644242368
1139,762,10352,Admit Wt,0.9605641644242368
1230,919,10352,Service,0.9605641644242368
1228,916,10352,Allergy 1,0.9605641644242368
1237,935,10352,Allergy 3,0.9605641644242368
1236,930,10352,Ext,0.9605641644242368
1235,927,10352,Allergy 2,0.9605641644242368
1234,926,10352,Religion,0.9605641644242368
1233,925,10352,Marital Status,0.9605641644242368
1232,924,10352,Readmission,0.9605641644242368
1231,920,10352,Admit Ht,0.9605641644242368
1229,917,10351,Diagnosis/op,0.9604713742228821
2340,77,10347,Behavior,0.9601002134174631
1186,815,10322,INR (2-4 ref. range),0.9577804583835947
1196,825,10320,PTT(22-35),0.9575948779808853
1195,824,10314,PT(11-13.5),0.9570381367727568
1322,1127,10245,"WBC   (4-11,000)",0.95063561287928
2444,187,10224,Family Communication,0.9486870186508305
2624,467,10033,O2 Delivery Device,0.9309640901920757
2487,294,9985,IV #1 [Site],0.9265101605270484
1320,1125,9943,Service Type,0.9226129720701494
2495,324,9936,IV Site Appear #1,0.9219634406606663
7,621,9838,Restraint Location,0.912870000927902
1292,1087,9757,Pain Assess Method,0.9053539946181683
122,8400,9704,IV #1 [Size],0.9004361139463672
2731,582,9610,Procedures,0.891713835019022
2337,72,9606,Back Care,0.891342674213603
2627,470,9580,O2 Flow (lpm),0.8889301289783799
2632,477,9555,Oral Care,0.8866103739445115
1697,642,9498,Skin Care,0.8813213324672915
2412,154,9470,Diet Type,0.8787232068293588
1385,1337,9421,Riker-SAS Scale,0.8741764869629767
2314,49,9410,Anti-Embolism [Device],0.8731557947480746
3414,229,9323,INV Line#1 [Type],0.8650830472302125
3416,232,9277,INV Line#1SiteAppear,0.8608146979678946
114,8392,9259,INV Line#1 [Site],0.8591444743435094
2678,527,9204,Pain Type,0.8540410132689988
1178,807,9044,Fingerstick Glucose,0.8391945810522409
1695,640,9015,Significant Events,0.8365036652129535
1152,780,8953,Arterial pH,0.8307506727289599
1151,779,8913,Arterial PaO2,0.8270390646747704
1150,778,8909,Arterial PaCO2,0.8266679038693514
1149,777,8889,Arterial CO2(Calc),0.8248120998422567
2677,526,8831,Pain Management [Route/Status #1],0.8194302681636819
2753,604,8792,Radiologic Study,0.8158114503108471
1148,776,8751,Arterial Base Excess,0.812007052055303
2730,581,8665,Previous WeightF,0.8040270947387956
1140,763,8661,Daily Weight,0.8036559339333766
1442,1425,8554,Daily Wake Up,0.7937273823884198
2488,297,8543,IV #2 [Site],0.7927066901735177
2316,51,8531,Arterial BP [Systolic],0.7915932077572608
2317,52,8516,Arterial BP Mean,0.7902013547369398
1321,1126,8479,Art.pH,0.7867681172868145
2496,325,8457,IV Site Appear #2,0.7847267328570103
1444,1427,8455,GI Prophylaxis [Drug #1],0.7845411524543008
123,8401,8298,IV #2 [Size],0.7699730908416071
89,8367,8291,Anti-Embolism [Status],0.7693235594321239
2447,190,8275,FiO2 Set,0.7678389162104482
1518,1529,8253,Glucose,0.7657975317806439
1525,1536,8253,Sodium,0.7657975317806439
1325,1162,8253,BUN,0.7657975317806439
1524,1535,8253,Potassium,0.7657975317806439
1514,1525,8252,Creatinine,0.7657047415792892
1512,1523,8252,Chloride,0.7657047415792892
1531,1542,8252,WBC,0.7657047415792892
1521,1532,8247,Magnesium,0.7652407905725156
2729,580,8229,Previous Weight,0.7635705669481303
1523,1534,8171,Phosphorous,0.7581887352695555
1511,1522,8155,Calcium,0.7567040920478797
1714,660,8133,Stool Guaiac,0.7546627076180755
2697,548,8077,Position Change,0.7494664563422102
2387,127,8051,Circulation/SkinInt,0.7470539111069872
90,8368,8007,Arterial BP [Diastolic],0.7429711422473787
2754,605,7986,Reason For Restraint,0.7410225480189292
9,623,7970,Restraints Evaluated,0.7395379047972535
1519,1530,7959,INR,0.7385172125823513
1362,1286,7958,PT,0.7384244223809966
1522,1533,7956,PTT,0.738238841978287
8,622,7925,Restraint Type,0.7353623457362902
2759,610,7915,Removed x 5 Mins,0.7344344437227429
1481,1484,7897,Risk for Falls,0.7327642200983576
1733,680,7814,Therapeutic Bed,0.7250626333859145
1275,1047,7785,Range of Motion,0.7223717175466271
1293,1089,7769,PainLevel Acceptable,0.7208870743249512
1712,657,7762,Sputum Source,0.7202375429154682
199,8477,7728,Sputum [Amount],0.7170826760694071
2673,522,7715,Pain Cause,0.7158764034517955
1590,1622,7708,Alarms,0.7152268720423123
1591,1623,7706,Parameters Checked,0.7150412916396028
3415,230,7637,INV Line#1 Zero/Cal,0.708638767746126
1,615,7620,Resp Rate (Total),0.7070613343230955
1770,720,7608,Ventilator Mode,0.7059478519068386
2659,506,7608,PEEP Set,0.7059478519068386
1711,656,7605,Sputum [Color],0.7056694813027744
2609,450,7599,Minute Volume(Obser),0.705112740094646
2593,434,7596,Low Exhaled Min Vol,0.7048343694905818
1772,722,7595,Ventilator Type,0.7047415792892271
3406,218,7594,High Insp. Pressure,0.7046487890878723
1187,816,7585,Ionized Calcium,0.7038136772756797
2306,40,7580,Airway Type,0.703349726268906
2603,444,7574,Mean Airway Pressure,0.7027929850607776
17,631,7569,Sensitivity-Vent,0.7023290340540039
198,8476,7563,Sputum Consistency,0.7017722928458755
2479,283,7560,INV#1 WaveformAppear,0.7014939222418113
2429,171,7521,Education Topic #1,0.6978751043889765
2800,220739,7491,GCS - Eye Opening,0.6950913983483344
2828,223900,7491,GCS - Verbal Response,0.6950913983483344
2829,223901,7489,GCS - Motor Response,0.6949058179456249
3248,227443,7488,HCO3 (serum),0.6948130277442702
3247,227442,7488,Potassium (serum),0.6948130277442702
3211,227073,7488,Anion gap,0.6948130277442702
2795,220635,7488,Magnesium,0.6948130277442702
2789,220602,7488,Chloride (serum),0.6948130277442702
3021,225624,7488,BUN,0.6948130277442702
2797,220645,7488,Sodium (serum),0.6948130277442702
2784,220545,7488,Hematocrit (serum),0.6948130277442702
2792,220621,7488,Glucose (serum),0.6948130277442702
2791,220615,7488,Creatinine,0.6948130277442702
2785,220546,7487,WBC,0.6947202375429155
2774,220228,7487,Hemoglobin,0.6947202375429155
3262,227457,7487,Platelet Count,0.6947202375429155
2425,167,7485,Education Learner,0.694534657140206
2675,524,7473,Pain Level (Rest),0.6934211747239492
3022,225625,7460,Calcium non-ionized,0.6922149021063376
3042,225677,7453,Phosphorous,0.6915653706968544
2427,169,7442,Education Readiness,0.6905446784819523
2727,578,7411,Pressure Support,0.6876681822399554
1272,1044,7400,Pain Level,0.6866474900250533
2426,168,7389,Education Method,0.6856267978101512
2305,39,7383,Airway Size,0.6850700566020228
2578,417,7376,Inspired Gas Temp,0.6844205251925397
3417,235,7356,INV Line#2 [Type],0.682564721165445
1735,682,7346,Tidal Volume (Obser),0.6816368191518976
5,619,7331,Respiratory Rate Set,0.6802449661315765
2685,535,7329,Peak Insp. Pressure,0.680059385728867
2428,170,7328,Education Response,0.6799665955275123
0,614,7325,Resp Rate (Spont),0.679688224923448
1736,683,7311,Tidal Volume (Set),0.6783891621044817
3419,238,7300,INV Line#2SiteAppear,0.6773684698895797
2878,224641,7297,Alarms On,0.6770900992855154
228,220045,7297,Heart Rate,0.6770900992855154
2814,223769,7296,O2 Saturation Pulseoxymetry Alarm - High,0.6769973090841607
2771,220210,7296,Respiratory Rate,0.6769973090841607
2778,220277,7296,O2 saturation pulseoxymetry,0.6769973090841607
2842,224168,7296,Parameters Checked,0.6769973090841607
2838,224161,7296,Resp Alarm - High,0.6769973090841607
230,220047,7296,Heart Rate Alarm - Low,0.6769973090841607
229,220046,7296,Heart rate Alarm - High,0.6769973090841607
2815,223770,7296,O2 Saturation Pulseoxymetry Alarm - Low,0.6769973090841607
2839,224162,7296,Resp Alarm - Low,0.6769973090841607
3105,226253,7291,SpO2 Desat Limit,0.676533358077387
2391,131,7283,Compliance (40-60ml),0.6757910364665491
2806,223761,7282,Temperature Fahrenheit,0.6756982462651944
2768,220180,7271,Non Invasive Blood Pressure diastolic,0.6746775540502923
2767,220179,7271,Non Invasive Blood Pressure systolic,0.6746775540502923
2769,220181,7270,Non Invasive Blood Pressure mean,0.6745847638489375
1782,732,7267,Waveform-Vent,0.6743063932448733
3407,219,7256,High Resp. Rate,0.6732857010299712
115,8393,7253,INV Line#2 [Site],0.673007330425907
2804,223752,7242,Non-Invasive Blood Pressure Alarm - Low,0.6719866382110049
2803,223751,7242,Non-Invasive Blood Pressure Alarm - High,0.6719866382110049
2423,165,7201,Education Barrier,0.6681822399554607
2692,543,7177,Plateau Pressure,0.665955275122947
2457,200,7161,GI Intub #1 [Type],0.6644706319012712
2415,157,7160,ETT [Mark],0.6643778416999165
1189,818,7160,Lactic Acid(0.5-2.0),0.6643778416999165
1783,733,7144,Weight Change,0.6628931984782407
110,8388,7117,GI Intub #1 [Site],0.6603878630416627
3272,227467,7111,INR,0.6598311218335344
3270,227465,7111,Prothrombin time,0.6598311218335344
3271,227466,7088,PTT,0.6576969472023755
2460,203,7087,GI#1 Tube [Status],0.6576041570010207
3110,226512,7076,Admission Weight (Kg),0.6565834647861186
2424,166,7065,Education Handout,0.6555627725712165
1737,684,6995,Tidal Volume (Spont),0.6490674584763849
104,8382,6949,ETT [Location],0.644799109214067
2734,585,6876,Pupil Size [Right],0.6380254245151712
2733,584,6836,Pupil Response [Right],0.6343138164609817
3308,227688,6828,Smoking Cessation Info Offered through BIDMC Inpatient Guide,0.6335714948501439
189,8467,6801,Pupil Size [Left],0.6310661594135659
2990,225184,6772,Eye Care,0.6283752435742785
188,8466,6771,Pupil Response [Left],0.6282824533729238
1054,5815,6636,HR Alarm [Low],0.6157557761900343
221,8549,6636,HR Alarm [High],0.6157557761900343
1059,5820,6635,SpO2 Alarm [Low],0.6156629859886796
226,8554,6635,SpO2 Alarm [High],0.6156629859886796
3408,221,6633,I:E Ratio,0.6154774055859701
1058,5819,6594,Resp Alarm [Low],0.6118585877331354
225,8553,6584,Resp Alarm [High],0.610930685719588
112,8390,6554,GI#1 Tube [Drain],0.6081469796789459
3111,226531,6545,Admission Weight (lbs.),0.6073118678667533
2430,172,6543,Education Topic #2,0.6071262874640438
3036,225664,6503,Glucose finger stick,0.6034146794098543
2821,223834,6419,O2 Flow,0.5956203024960565
2376,113,6374,CVP,0.5914447434350932
2991,225185,6334,Skin Care,0.5877331353809038
2992,225187,6328,Back Care,0.5871763941727753
1056,5817,6291,NBP Alarm [Low],0.5837431567226501
1144,772,6258,Albumin (>3.2),0.5806810800779437
1142,769,6257,ALT,0.5805882898765891
223,8551,6244,NBP Alarm [High],0.5793820172589774
1143,770,6234,AST,0.5784541152454301
1271,1043,6229,Less Restrict Meas.,0.5779901642386563
2480,284,6177,INV#2 WaveformAppear,0.5731650737682101
3418,236,6152,INV Line#2 Zero/Cal,0.5708453187343416
176,8454,6142,Pain Management [Route/Status #2],0.5699174167207943
1145,773,6133,Alk. Phosphate,0.5690823049086017
3006,225313,6123,Bed Bath,0.5681544028950543
1204,834,6084,SaO2,0.5645355850422196
1156,784,5972,CPK,0.554143082490489
2440,183,5963,Eye Care,0.5533079706782964
1214,848,5920,Total Bili (0-1.5),0.5493179920200427
2974,225103,5900,Intravenous  / IV access prior to admission,0.547462187992948
1476,1479,5859,IV #1 Reason DC'D,0.5436577897374038
1520,1531,5776,Lactic Acid,0.5359562030249606
2459,202,5760,GI#1 Tube PlaceCheck,0.5344715598032848
3220,227349,5754,High risk (>51) interventions,0.5339148185951563
2820,223830,5730,PH (Arterial),0.5316878537626427
3048,225698,5701,TCO2 (calc) Arterial,0.5289969379233553
2775,220235,5701,Arterial CO2 Pressure,0.5289969379233553
2772,220224,5701,Arterial O2 pressure,0.5289969379233553
2925,224828,5700,Arterial Base Excess,0.5289041477220006
2377,114,5681,CaO2,0.5271411338962606
3038,225668,5660,Lactic Acid,0.5251925396678111
2822,223835,5656,Inspired O2 Fraction,0.5248213788623921
1273,1045,5626,Pain Level/Response,0.5220376728217501
2315,50,5619,Apnea Time Interval,0.5213881414122669
3238,227368,5522,20 Gauge Dressing Occlusive,0.5123874918808574
3095,226138,5503,20 Gauge placed in outside facility,0.5106244780551173
1169,798,5419,Differential-Lymphs,0.5028301011413194
1168,797,5419,Differential-Eos,0.5028301011413194
1170,799,5419,Differential-Monos,0.5028301011413194
1167,796,5418,Differential-Basos,0.5027373109399648
1171,800,5418,Differential-Polys,0.5027373109399648
2489,300,5369,IV #3 [Site],0.49819059107358266
2744,595,5348,RSBI (<200),0.49624199684513315
1707,652,5326,Spon. Vt (L) (Mech.),0.4942006124153289
1706,651,5320,Spon RR (Mech.),0.49364387120720055
2877,224639,5307,Daily Weight,0.49243759858958897
2805,223758,5290,Code Status,0.4908601651665584
1155,783,5142,Blood Products,0.47712721536605734
2572,411,5074,Incision/Wound #1,0.4708174816739352
2559,398,5048,Inc #1 [Dressing],0.46840493643871206
2553,392,5022,Inc #1 [Drainage],0.4659923912034889
2416,158,4962,ETT Position Change,0.4604249791222047
2454,197,4960,Follows Commands,0.4602393987194952
124,8402,4950,IV #3 [Size],0.45931149670594784
2782,220339,4887,PEEP set,0.45346571402059943
2896,224689,4881,Respiratory Rate (spontaneous),0.452908972812471
1510,1521,4881,Albumin,0.452908972812471
2497,326,4877,IV Site Appear #3,0.45253781200705206
2894,224687,4873,Minute Volume,0.45216665120163313
2781,220293,4871,Minute Volume Alarm - High,0.45198107079892363
2827,223876,4870,Apnea Interval,0.4518882805975689
2901,224697,4870,Mean Airway Pressure,0.4518882805975689
2824,223873,4869,Paw High,0.45179549039621414
2892,224685,4869,Tidal Volume (observed),0.45179549039621414
2780,220292,4867,Minute Volume Alarm - Low,0.4516099099935047
1188,817,4861,LDH,0.45105316878537627
2825,223874,4857,Vti High,0.45068200797995733
2899,224695,4851,Peak Insp. Pressure,0.4501252667718289
3117,226707,4848,Height,0.4498468961677647
3118,226730,4847,Height (cm),0.44975410596640997
3037,225667,4843,Ionized Calcium,0.449382945160991
3346,228096,4828,Richmond-RAS Scale,0.44799109214066996
3044,225690,4826,Total Bilirubin,0.44780551173796046
1652,1698,4820,GI Tube #1 [Site],0.44724877052983203
2826,223875,4820,Fspn High,0.44724877052983203
1052,5813,4805,ABP Alarm [Low],0.445856917509511
2796,220644,4804,ALT,0.44576412730815623
2788,220587,4796,AST,0.44502180569731836
2897,224690,4796,Respiratory Rate (Total),0.44502180569731836
213,8492,4792,GI Tube #1 [Site],0.4446506448918994
1425,1397,4766,RSBI (<100),0.44223809965667626
3020,225612,4744,Alkaline Phosphate,0.44019671522687204
2914,224738,4736,Inspiratory Time,0.43945439361603417
3098,226169,4712,Subglottal Suctioning,0.43722742878352044
234,220056,4708,Arterial Blood Pressure Alarm - Low,0.4368562679781015
235,220058,4701,Arterial Blood Pressure Alarm - High,0.43620673656861836
150,8428,4693,Inc #1 [Status],0.43546441495778043
2547,386,4673,Inc #1 [Closure],0.4336086109306857
2799,220734,4652,PH (dipstick),0.43166001670223625
2535,374,4651,Impaired Skin Site#1,0.43156722650088153
233,220052,4609,Arterial Blood Pressure mean,0.42767003804398257
3276,227471,4600,Specific Gravity (urine),0.4268349262317899
2895,224688,4598,Respiratory Rate (Set),0.42664934582908043
2972,225092,4594,Self ADL,0.4262781850236615
2891,224684,4582,Tidal Volume (set),0.42516470260740463
1527,1538,4574,Total Bili,0.42442238099656676
2893,224686,4551,Tidal Volume (spontaneous),0.4222882063654078
219,8547,4546,ABP Alarm [High],0.4218242553586341
231,220050,4544,Arterial Blood Pressure systolic,0.42163867495592466
232,220051,4543,Arterial Blood Pressure diastolic,0.42154588475456994
3155,226871,4534,Expiratory Ratio,0.4207107729423773
1713,659,4533,Stool [Color],0.4206179827410225
3156,226873,4530,Inspiratory Ratio,0.42033961213695836
3217,227292,4528,Arterial Line Dressing Occlusive,0.42015403173424887
2903,224701,4523,PSV Level,0.41969008072747516
3000,225210,4516,Arterial Line Zero/Calibrate,0.419040549317992
2505,344,4505,ImpSkin Character #1,0.4180198571030899
3074,226107,4495,Arterial Line placed in outside facility,0.41709195508954255
1729,676,4495,Temperature C,0.41709195508954255
200,8478,4490,Stool [Consistency],0.41662800408276884
1477,1480,4472,IV #2 Reason DC'D,0.4149577804583836
138,8416,4451,Inc #1 [Appearance],0.4130091862299341
2694,545,4445,Plateau-Off,0.4124524450218057
3285,227565,4444,Ventilator Tank #1,0.41235965482045095
3286,227566,4443,Ventilator Tank #2,0.41226686461909623
2517,356,4410,ImpSkin Treatment #1,0.4092047879743899
2973,225094,4391,History of slips / falls,0.4074417741486499
2336,71,4377,BSA - Metric,0.4061427113296836
2335,70,4377,BSA - English,0.4061427113296836
2401,141,4345,Cuff Pressure-Airway,0.403173424886332
3261,227456,4341,Albumin,0.4028022640809131
317,6208,4335,Ve High,0.40224552287278464
3237,227367,4310,18 Gauge Dressing Occlusive,0.3999257678389162
1657,1703,4297,Health Care Proxy,0.3987194952213046
2900,224696,4288,Plateau Pressure,0.397884383409112
1710,655,4287,Spontaneous Movement,0.39779159320775725
3094,226137,4282,18 Gauge placed in outside facility,0.3973276422009836
3100,226179,4280,No wallet / money,0.3971420617982741
3028,225639,4254,Differential-Basos,0.39472951656305094
3029,225640,4254,Differential-Eos,0.39472951656305094
3030,225641,4254,Differential-Lymphs,0.39472951656305094
3031,225642,4254,Differential-Monos,0.39472951656305094
3032,225643,4254,Differential-Neuts,0.39472951656305094
1147,775,4233,Amylase,0.3927809223346015
315,6206,4231,Tank A psi.,0.392595341931892
316,6207,4228,Tank B psi.,0.3923169713278278
1157,785,4224,CPK/MB,0.39194581052240884
1508,1517,4077,Readmit <48 hrs,0.3783056509232625
2962,225067,4052,Is the spokesperson the Health Care Proxy,0.3759858958893941
2976,225106,4010,ETOH,0.3720887074324951
3420,241,3972,INV Line#3 [Type],0.36856267978101515
2794,220632,3923,LDH,0.36401595991463304
3422,244,3911,INV Line#3SiteAppear,0.3629024774983762
1166,795,3896,Differential-Bands,0.3615106244780551
116,8394,3891,INV Line#3 [Site],0.36104667347128144
3024,225634,3832,CK (CPK),0.35557205159135197
2982,225118,3822,Difficulty swallowing,0.3546441495778046
2985,225126,3772,Dialysis patient,0.3500046395100677
2867,224417,3765,Cuff Pressure,0.34935510810058457
2970,225087,3760,Visual / hearing deficit,0.3488911570938109
1053,5814,3752,CVP Alarm [Low],0.348148835482973
2523,362,3723,ImpSkin Wound Base#1,0.3454579196436856
2993,225188,3673,Cough/Deep Breath,0.3408184095759488
2980,225113,3670,Currently experiencing pain,0.34054003897188456
1480,1483,3659,RSBI Not Completed,0.3395193467569825
2739,590,3640,RL Strength/Movement,0.33775633293124246
2583,423,3637,LL Strength/Movement,0.33747796232717825
2745,596,3635,RU Strength/Movement,0.33729238192446875
2586,426,3634,LU Strength/Movement,0.33719959172311403
1177,806,3633,Fibrinogen (150-400),0.3371068015217593
3114,226537,3627,Glucose (whole blood),0.3365500603136309
2399,139,3598,Cough/Deep Breathe,0.3338591444743435
3243,227429,3582,Troponin-T,0.3323745012526677
2902,224700,3545,Total PEEP Level,0.32894126380254246
3350,228100,3544,20 Gauge placed in the field,0.32884847360118774
2978,225110,3510,Recreational drug use,0.32569360675512665
3269,227464,3501,Potassium (whole blood),0.324858494942934
2876,224564,3443,Impaired Skin Odor #1,0.3194766632643593
2499,338,3433,Imp Skin Cleanse #1,0.31854876125081194
6,620,3433,Responds to Stimuli [Type],0.31854876125081194
144,8422,3428,Inc #1 [Amount],0.31808481024403823
196,8474,3402,Responds to Stimuli [Value],0.31567226500881507
2773,220227,3399,Arterial O2 Saturation,0.31539389440475085
2872,224422,3386,Spont RR,0.31418762178713927
2871,224421,3386,Spont Vt,0.31418762178713927
220,8548,3383,CVP Alarm [High],0.31390925118307506
2966,225078,3371,Social work consult,0.31279576876681825
2513,352,3370,ImpSkin #1 [Drain],0.3127029785654635
2983,225122,3320,Special diet,0.30806346849772664
2605,446,3261,Micro-Neb Treatment,0.30258884661779717
2984,225124,3219,Unintentional weight loss >10 lbs.,0.2986916581608982
2645,492,3199,PAP [Systolic],0.2968358541338035
3250,227445,3186,CK-MB,0.2956295815161919
2598,439,3184,MDI #1 [Puff],0.2954440011134824
3218,227293,3182,Multi Lumen Dressing Occlusive,0.29525842071077296
2763,220074,3180,Central Venous Pressure,0.29507284030806347
2964,225074,3172,Any fear in relationships,0.2943305186972256
170,8448,3170,PAP [Diastolic],0.2941449382945161
2379,116,3164,Cardiac Index,0.29358819708638767
3079,226113,3130,Multi Lumen placed in outside facility,0.29043333024032664
159,8437,3128,MDI #1 [Drug],0.29024774983761714
2571,410,3114,Incentive Spirometry,0.28894868701865084
2963,225070,3095,Unable to assess psychological,0.28718567319291083
12,626,3092,SVR,0.2869073025888466
2353,90,3055,C.O.(thermodilution),0.28347406513872137
1732,679,3052,Temperature F (calc),0.28319569453465715
1221,855,3013,Vancomycin/Random,0.2795768766818224
3101,226180,3005,Sexuality / reproductive problems,0.2788345550709845
2397,137,3004,Cough Reflex,0.27874176486962976
2464,208,3001,Gag Reflex,0.27846339426556554
242,220073,2983,Central Venous Pressure  Alarm - Low,0.2767931706411803
210,8488,2983,GI Prophylaxis [Drug #2],0.2767931706411803
241,220072,2976,Central Venous Pressure Alarm - High,0.27614363923169716
13,627,2965,SVRI,0.275122947016795
1226,860,2943,Venous pH,0.2730815625869908
1517,1528,2939,Fibrinogen,0.27271040178157185
1224,858,2933,Venous PvCO2,0.2721536605734434
2573,412,2921,Incision/Wound #2,0.2710401781571866
2560,399,2909,Inc #2 [Dressing],0.26992669574092976
1225,859,2908,Venous PvO2,0.26983390553957504
2623,466,2905,Nursing Consultation,0.2695555349355108
2481,285,2903,INV#3 WaveformAppear,0.2693699545328013
1781,731,2901,Warming [Device],0.2691843741300919
2554,393,2892,Inc #2 [Drainage],0.26834926231789924
1716,662,2886,Stroke Volume,0.2677925211097708
1194,823,2880,Mixed Venous O2% Sat,0.2672357799016424
3421,242,2864,INV Line#3 Zero/Cal,0.2657511366799666
11,625,2843,SVI,0.26380254245151713
1715,661,2822,Stool Management,0.2618539482230676
2581,421,2786,LCW,0.2585135009742971
2590,430,2785,LVSW,0.2584207107729424
3384,228236,2784,Insulin pump,0.25832792057158765
2981,225117,2783,Unable to assess nutrition / education,0.2582351303702329
207,8485,2774,Warming [Status],0.2574000185580403
151,8429,2765,Inc #2 [Status],0.25656490674584764
2582,422,2762,LCWI,0.2562865361417834
2591,431,2761,LVSWI,0.2561937459404287
2965,225076,2753,Emotional / physical / sexual harm by partner or close relation,0.2554514243295908
3349,228099,2745,18 Gauge placed in the field,0.2547091027187529
2358,95,2720,CT #1 Dressing,0.25238934768488447
2357,94,2692,CT #1 Drainage,0.24979122204695184
2359,96,2682,CT #1 [Fluctuate],0.24886332003340447
2360,97,2681,CT #1 Suction Amount,0.24877052983204972
2383,122,2660,Chest Tube Site #1,0.24682193560360027
2625,468,2646,O2 Delivery Device#2,0.24552287278463394
95,8373,2627,CT #1 [Leak],0.24375985895889393
3112,226534,2616,Sodium (whole blood),0.24273916674399185
2998,225206,2612,Multi Lumen Zero/Calibrate,0.24236800593857288
1478,1481,2594,IV #3 Reason DC'D,0.24069778231418762
3352,228137,2580,CHG Bath,0.23939871949522132
1698,643,2543,Skin Color,0.23596548204509604
2628,471,2531,O2 Flow (lpm) #2,0.23485199962883918
3115,226540,2525,Hematocrit (whole blood - calc),0.23429525842071078
3385,228305,2503,ST Segment Monitoring On,0.23225387399090655
1756,705,2492,Untoward Effect,0.23123318177600446
2971,225091,2489,Unable to assess activity / mobility,0.23095481117194025
2823,223872,2479,Inspired Gas Temp.,0.23002690915839288
3273,227468,2470,Fibrinogen,0.22919179734620024
1193,822,2459,Mixed Venous O2,0.22817110513129812
3104,226185,2456,ICU Consent Signed,0.22789273452723394
3002,225280,2449,Called Out,0.22724320311775076
1771,721,2445,Ventilator No.,0.22687204231233182
2536,375,2444,Impaired Skin Site#2,0.22677925211097708
2986,225129,2442,Unable to assess teaching / learning needs,0.2265936717082676
1700,645,2431,Skin [Temperature],0.2255729794933655
1223,857,2431,Venous CO2(Calc),0.2255729794933655
197,8475,2427,Skin Condition,0.22520181868794656
3113,226536,2387,Chloride (whole blood),0.22149021063375707
2506,345,2377,ImpSkin Character #2,0.2205623086202097
2680,530,2373,Peak Flow,0.22019114781479077
1703,648,2362,Speech,0.21917045559988865
